amfi_code,date,rolling_sharpe
100016,2022-01-04,
100016,2022-01-05,
100016,2022-01-06,
100016,2022-01-07,
100016,2022-01-10,
100016,2022-01-11,
100016,2022-01-12,
100016,2022-01-13,
100016,2022-01-14,
100016,2022-01-17,
100016,2022-01-18,
100016,2022-01-19,
100016,2022-01-20,
100016,2022-01-21,
100016,2022-01-24,
100016,2022-01-25,
100016,2022-01-26,
100016,2022-01-27,
100016,2022-01-28,
100016,2022-01-31,
100016,2022-02-01,
100016,2022-02-02,
100016,2022-02-03,
100016,2022-02-04,
100016,2022-02-07,
100016,2022-02-08,
100016,2022-02-09,
100016,2022-02-10,
100016,2022-02-11,
100016,2022-02-14,
100016,2022-02-15,
100016,2022-02-16,
100016,2022-02-17,
100016,2022-02-18,
100016,2022-02-21,
100016,2022-02-22,
100016,2022-02-23,
100016,2022-02-24,
100016,2022-02-25,
100016,2022-02-28,
100016,2022-03-01,
100016,2022-03-02,
100016,2022-03-03,
100016,2022-03-04,
100016,2022-03-07,
100016,2022-03-08,
100016,2022-03-09,
100016,2022-03-10,
100016,2022-03-11,
100016,2022-03-14,
100016,2022-03-15,
100016,2022-03-16,
100016,2022-03-17,
100016,2022-03-18,
100016,2022-03-21,
100016,2022-03-22,
100016,2022-03-23,
100016,2022-03-24,
100016,2022-03-25,
100016,2022-03-28,
100016,2022-03-29,
100016,2022-03-30,
100016,2022-03-31,
100016,2022-04-01,
100016,2022-04-04,
100016,2022-04-05,
100016,2022-04-06,
100016,2022-04-07,
100016,2022-04-08,
100016,2022-04-11,
100016,2022-04-12,
100016,2022-04-13,
100016,2022-04-14,
100016,2022-04-15,
100016,2022-04-18,
100016,2022-04-19,
100016,2022-04-20,
100016,2022-04-21,
100016,2022-04-22,
100016,2022-04-25,
100016,2022-04-26,
100016,2022-04-27,
100016,2022-04-28,
100016,2022-04-29,
100016,2022-05-02,
100016,2022-05-03,
100016,2022-05-04,
100016,2022-05-05,
100016,2022-05-06,
100016,2022-05-09,-0.06478670008912955
100016,2022-05-10,-0.05888034861668132
100016,2022-05-11,-0.5325205541313971
100016,2022-05-12,-0.6490053425695433
100016,2022-05-13,-0.49827829942567936
100016,2022-05-16,-0.41978241612952183
100016,2022-05-17,-0.029987705130696915
100016,2022-05-18,-0.13229821137980866
100016,2022-05-19,-0.194050056888502
100016,2022-05-20,-0.4154329314203222
100016,2022-05-23,-0.3820082778583411
100016,2022-05-24,-0.5359412486385601
100016,2022-05-25,-0.28880034748509187
100016,2022-05-26,-0.22402215304949605
100016,2022-05-27,-0.4523351906173505
100016,2022-05-30,-0.6718256658079663
100016,2022-05-31,-1.0888180269706496
100016,2022-06-01,-1.154173236318414
100016,2022-06-02,-1.2310430630774847
100016,2022-06-03,-1.091380736568116
100016,2022-06-06,-1.2023051994385596
100016,2022-06-07,-0.9794900848766548
100016,2022-06-08,-1.1403048574996608
100016,2022-06-09,-1.273308200457503
100016,2022-06-10,-1.405958131616539
100016,2022-06-13,-1.3062963988562162
100016,2022-06-14,-1.4757929012701807
100016,2022-06-15,-1.5260454722440322
100016,2022-06-16,-1.6283482160322544
100016,2022-06-17,-1.7990173851187194
100016,2022-06-20,-1.715076315587886
100016,2022-06-21,-1.5794021693840001
100016,2022-06-22,-1.5950712744859499
100016,2022-06-23,-2.1018518096633767
100016,2022-06-24,-1.8624400991554144
100016,2022-06-27,-2.1057435176855615
100016,2022-06-28,-2.318919910806614
100016,2022-06-29,-2.6112428157351295
100016,2022-06-30,-2.4882844291193695
100016,2022-07-01,-2.4501889529749223
100016,2022-07-04,-2.540278089714654
100016,2022-07-05,-1.956501960135515
100016,2022-07-06,-1.892772777050983
100016,2022-07-07,-2.1346187998832873
100016,2022-07-08,-2.303952354291791
100016,2022-07-11,-1.9950113331535242
100016,2022-07-12,-2.717585164236229
100016,2022-07-13,-2.805209073760143
100016,2022-07-14,-3.198286393251043
100016,2022-07-15,-3.1531800812310187
100016,2022-07-18,-3.240678345028614
100016,2022-07-19,-3.0756420844189774
100016,2022-07-20,-3.2126919516698593
100016,2022-07-21,-3.789348087832287
