investor_id,sip_count,average_gap_days,status
INV000004,6,85.4,risk
INV000008,6,70.4,risk
INV000010,6,64.8,risk
INV000011,7,40.166666666666664,risk
INV000012,8,57.0,risk
INV000013,7,55.333333333333336,risk
INV000014,7,75.33333333333333,risk
INV000023,8,58.57142857142857,risk
INV000028,6,93.6,risk
INV000029,7,60.666666666666664,risk
INV000030,9,47.625,risk
INV000033,8,45.57142857142857,risk
INV000039,6,68.6,risk
INV000045,6,70.6,risk
INV000048,9,46.0,risk
INV000052,6,36.2,risk
INV000056,6,74.8,risk
INV000057,8,49.714285714285715,risk
INV000069,10,49.111111111111114,risk
INV000072,6,83.0,risk
INV000073,9,48.25,risk
INV000074,8,72.57142857142857,risk
INV000075,6,74.8,risk
INV000076,6,91.8,risk
INV000079,6,65.8,risk
INV000081,7,81.33333333333333,risk
INV000082,7,83.66666666666667,risk
INV000086,10,44.666666666666664,risk
INV000087,6,92.8,risk
INV000091,8,44.0,risk
INV000093,7,55.5,risk
INV000094,6,44.8,risk
INV000095,6,69.4,risk
INV000097,7,54.5,risk
INV000101,8,65.0,risk
INV000102,8,65.28571428571429,risk
INV000103,6,83.4,risk
INV000105,8,57.0,risk
INV000109,9,46.25,risk
INV000113,8,46.0,risk
INV000123,7,59.666666666666664,risk
INV000128,6,82.0,risk
INV000131,7,56.0,risk
INV000132,6,71.0,risk
INV000133,6,88.2,risk
INV000138,6,76.2,risk
INV000145,6,89.4,risk
INV000146,6,66.8,risk
INV000148,9,52.0,risk
INV000155,7,37.333333333333336,risk
INV000161,7,73.0,risk
INV000163,8,61.0,risk
INV000164,6,61.8,risk
INV000169,7,67.83333333333333,risk
INV000173,7,57.666666666666664,risk
INV000175,7,83.66666666666667,risk
INV000177,8,65.42857142857143,risk
INV000180,6,61.8,risk
INV000183,9,56.125,risk
INV000191,7,56.5,risk
INV000194,7,58.0,risk
INV000195,6,77.4,risk
INV000196,7,69.0,risk
INV000201,9,51.125,risk
INV000205,8,62.57142857142857,risk
INV000210,8,70.71428571428571,risk
INV000214,6,94.8,risk
INV000217,6,92.0,risk
INV000228,9,59.75,risk
INV000236,8,67.14285714285714,risk
INV000238,6,93.6,risk
INV000239,8,48.857142857142854,risk
INV000243,6,88.2,risk
INV000245,6,92.2,risk
INV000249,7,45.5,risk
INV000252,6,50.4,risk
INV000255,6,48.6,risk
INV000256,6,70.2,risk
INV000259,6,70.6,risk
INV000260,8,59.57142857142857,risk
INV000262,8,53.57142857142857,risk
INV000263,8,68.42857142857143,risk
INV000265,10,53.44444444444444,risk
INV000268,7,62.333333333333336,risk
INV000279,9,43.375,risk
INV000280,9,55.75,risk
INV000283,6,68.0,risk
INV000287,7,69.83333333333333,risk
INV000289,8,62.714285714285715,risk
INV000291,6,89.0,risk
INV000292,7,46.0,risk
INV000293,7,47.0,risk
INV000297,6,90.6,risk
INV000299,6,85.2,risk
INV000304,7,70.0,risk
INV000309,8,52.0,risk
INV000310,7,75.83333333333333,risk
INV000318,6,97.4,risk
INV000319,7,73.5,risk
INV000321,7,72.83333333333333,risk
INV000328,9,37.5,risk
INV000331,8,50.714285714285715,risk
INV000334,7,25.5,normal
INV000335,6,96.0,risk
INV000339,6,94.0,risk
INV000341,8,54.42857142857143,risk
INV000356,6,54.4,risk
INV000359,9,54.125,risk
INV000363,7,77.0,risk
INV000369,6,43.8,risk
INV000371,8,59.285714285714285,risk
INV000372,7,54.5,risk
INV000380,6,97.0,risk
INV000388,9,53.625,risk
INV000392,7,77.16666666666667,risk
INV000395,7,55.666666666666664,risk
INV000396,6,83.2,risk
INV000399,10,49.55555555555556,risk
INV000400,6,62.6,risk
INV000403,6,58.2,risk
INV000407,6,82.4,risk
INV000408,6,46.8,risk
INV000412,8,43.714285714285715,risk
INV000414,8,66.28571428571429,risk
INV000415,7,66.16666666666667,risk
INV000418,6,86.8,risk
INV000427,7,68.5,risk
INV000428,8,52.142857142857146,risk
INV000429,6,77.2,risk
INV000437,6,97.8,risk
INV000440,8,69.57142857142857,risk
INV000441,6,60.8,risk
INV000444,6,73.2,risk
INV000445,9,57.75,risk
INV000446,6,38.6,risk
INV000449,6,46.8,risk
INV000452,9,49.375,risk
INV000457,6,91.4,risk
INV000460,6,43.4,risk
INV000463,7,65.16666666666667,risk
INV000466,7,73.33333333333333,risk
INV000467,10,56.666666666666664,risk
INV000469,7,70.5,risk
INV000483,8,70.42857142857143,risk
INV000491,6,95.0,risk
INV000493,10,47.55555555555556,risk
INV000497,7,71.83333333333333,risk
INV000499,7,77.83333333333333,risk
INV000507,7,70.16666666666667,risk
INV000512,9,54.75,risk
INV000522,6,100.8,risk
INV000524,7,55.0,risk
INV000527,6,50.8,risk
INV000529,6,59.2,risk
INV000531,7,47.0,risk
INV000539,7,77.0,risk
INV000540,7,73.5,risk
INV000543,7,83.66666666666667,risk
INV000545,6,80.6,risk
INV000546,9,55.0,risk
INV000547,6,55.8,risk
INV000549,6,96.2,risk
INV000553,6,72.0,risk
INV000554,6,70.2,risk
INV000556,8,52.42857142857143,risk
INV000562,6,74.4,risk
INV000563,7,76.33333333333333,risk
INV000566,7,35.0,normal
INV000567,6,63.8,risk
INV000568,6,62.4,risk
INV000570,8,67.28571428571429,risk
INV000573,7,50.833333333333336,risk
INV000575,6,71.6,risk
INV000578,7,66.83333333333333,risk
INV000581,7,78.33333333333333,risk
INV000586,7,44.5,risk
INV000589,9,59.125,risk
INV000591,7,64.5,risk
INV000593,6,74.2,risk
INV000596,9,51.75,risk
INV000597,6,88.6,risk
INV000599,7,81.5,risk
INV000607,7,66.66666666666667,risk
INV000608,6,100.2,risk
INV000609,6,47.0,risk
INV000612,11,49.3,risk
INV000615,7,55.833333333333336,risk
INV000624,7,31.666666666666668,normal
INV000625,6,86.4,risk
INV000630,7,68.66666666666667,risk
INV000631,6,54.0,risk
INV000634,9,52.25,risk
INV000635,6,75.0,risk
INV000641,6,54.8,risk
INV000642,9,53.5,risk
INV000645,6,66.0,risk
INV000646,7,62.333333333333336,risk
INV000651,6,94.0,risk
INV000652,6,93.8,risk
INV000657,8,64.71428571428571,risk
INV000662,8,66.14285714285714,risk
INV000663,6,94.4,risk
INV000665,10,36.22222222222222,risk
INV000667,6,68.0,risk
INV000673,6,92.8,risk
INV000675,6,62.8,risk
INV000676,11,35.3,risk
INV000678,7,63.333333333333336,risk
INV000683,9,54.5,risk
INV000690,8,56.285714285714285,risk
INV000691,6,66.4,risk
INV000698,9,52.25,risk
INV000699,6,42.8,risk
INV000701,7,83.66666666666667,risk
INV000707,9,34.375,normal
INV000709,7,65.16666666666667,risk
INV000710,6,88.6,risk
INV000714,9,37.0,risk
INV000718,7,57.833333333333336,risk
INV000719,7,72.83333333333333,risk
INV000724,6,81.2,risk
INV000725,7,67.66666666666667,risk
INV000734,8,64.0,risk
INV000737,6,92.6,risk
INV000747,6,84.6,risk
INV000750,9,26.5,normal
INV000751,9,53.0,risk
INV000754,7,72.33333333333333,risk
INV000759,7,83.0,risk
INV000761,7,75.16666666666667,risk
INV000768,8,60.0,risk
INV000772,6,46.0,risk
INV000774,7,73.66666666666667,risk
INV000776,8,59.42857142857143,risk
INV000777,6,66.0,risk
INV000778,8,59.714285714285715,risk
INV000779,6,75.0,risk
INV000783,6,89.8,risk
INV000785,6,32.6,normal
INV000786,9,64.125,risk
INV000789,8,55.142857142857146,risk
INV000793,8,69.14285714285714,risk
INV000803,7,77.16666666666667,risk
INV000814,6,94.0,risk
INV000822,7,55.5,risk
INV000823,7,39.666666666666664,risk
INV000827,8,58.285714285714285,risk
INV000830,6,72.2,risk
INV000833,8,67.28571428571429,risk
INV000836,6,84.8,risk
INV000843,6,55.6,risk
INV000844,7,66.16666666666667,risk
INV000847,6,47.8,risk
INV000853,10,49.333333333333336,risk
INV000854,9,61.25,risk
INV000858,9,44.875,risk
INV000862,6,91.2,risk
INV000864,6,40.8,risk
INV000865,9,45.75,risk
INV000869,6,65.4,risk
INV000873,7,73.5,risk
INV000874,9,62.125,risk
INV000877,6,59.4,risk
INV000881,10,46.111111111111114,risk
INV000887,7,65.66666666666667,risk
INV000888,7,80.33333333333333,risk
INV000893,7,59.5,risk
INV000894,6,55.0,risk
INV000901,6,54.0,risk
INV000907,6,59.2,risk
INV000920,6,75.6,risk
INV000926,6,80.0,risk
INV000929,7,58.166666666666664,risk
INV000930,8,32.42857142857143,normal
INV000935,9,30.875,normal
INV000939,8,60.57142857142857,risk
INV000942,7,53.0,risk
INV000949,7,67.5,risk
INV000950,6,91.0,risk
INV000971,7,46.833333333333336,risk
INV000974,7,73.5,risk
INV000977,10,48.77777777777778,risk
INV000979,6,79.8,risk
INV000980,8,44.42857142857143,risk
INV000981,6,50.4,risk
INV000986,7,60.833333333333336,risk
INV000994,6,63.8,risk
INV001001,8,60.285714285714285,risk
INV001002,7,41.666666666666664,risk
INV001005,6,93.6,risk
INV001008,7,64.66666666666667,risk
INV001013,6,96.8,risk
INV001017,6,67.0,risk
INV001019,9,44.875,risk
INV001021,7,68.66666666666667,risk
INV001023,8,72.42857142857143,risk
INV001025,6,38.8,risk
INV001026,6,69.4,risk
INV001037,10,42.0,risk
INV001039,6,66.2,risk
INV001041,7,83.0,risk
INV001047,7,66.16666666666667,risk
INV001048,8,47.0,risk
INV001051,8,54.142857142857146,risk
INV001053,8,55.857142857142854,risk
INV001055,6,93.2,risk
INV001060,9,53.375,risk
INV001061,9,51.125,risk
INV001063,8,43.285714285714285,risk
INV001064,9,59.5,risk
INV001069,8,41.285714285714285,risk
INV001070,6,97.0,risk
INV001092,7,77.33333333333333,risk
INV001099,8,26.142857142857142,normal
INV001102,7,55.333333333333336,risk
INV001115,6,81.4,risk
INV001116,9,58.125,risk
INV001117,8,61.714285714285715,risk
INV001130,7,76.83333333333333,risk
INV001137,7,57.0,risk
INV001140,6,60.4,risk
INV001141,6,97.6,risk
INV001142,7,42.833333333333336,risk
INV001156,6,102.4,risk
INV001160,8,57.57142857142857,risk
INV001161,6,80.6,risk
INV001163,7,67.33333333333333,risk
INV001167,6,96.2,risk
INV001170,6,68.2,risk
INV001173,6,67.0,risk
INV001178,7,79.66666666666667,risk
INV001180,6,74.4,risk
INV001181,8,67.42857142857143,risk
INV001190,6,97.0,risk
INV001195,8,53.42857142857143,risk
INV001196,6,92.2,risk
INV001202,8,58.0,risk
INV001206,6,83.6,risk
INV001208,7,51.833333333333336,risk
INV001210,9,36.875,risk
INV001217,8,60.142857142857146,risk
INV001219,8,50.857142857142854,risk
INV001220,7,77.16666666666667,risk
INV001223,7,70.83333333333333,risk
INV001234,8,60.57142857142857,risk
INV001235,9,59.0,risk
INV001237,6,98.0,risk
INV001238,7,68.5,risk
INV001242,6,69.8,risk
INV001251,6,82.0,risk
INV001262,7,44.833333333333336,risk
INV001274,7,73.33333333333333,risk
INV001275,7,66.66666666666667,risk
INV001282,6,67.0,risk
INV001287,6,92.2,risk
INV001288,7,45.666666666666664,risk
INV001291,6,76.2,risk
INV001295,9,50.75,risk
INV001298,7,71.83333333333333,risk
INV001299,9,51.25,risk
INV001304,6,97.6,risk
INV001308,9,54.625,risk
INV001310,6,81.2,risk
INV001314,10,50.44444444444444,risk
INV001315,7,51.833333333333336,risk
INV001316,6,92.4,risk
INV001317,6,84.8,risk
INV001318,10,46.22222222222222,risk
INV001326,8,69.42857142857143,risk
INV001329,6,68.2,risk
INV001331,6,94.2,risk
INV001332,7,80.0,risk
INV001333,7,78.66666666666667,risk
INV001336,8,65.85714285714286,risk
INV001348,7,47.833333333333336,risk
INV001351,7,70.5,risk
INV001355,6,60.2,risk
INV001356,6,79.2,risk
INV001359,7,72.5,risk
INV001361,7,50.5,risk
INV001367,6,99.0,risk
INV001375,7,78.5,risk
INV001376,7,78.66666666666667,risk
INV001383,8,56.142857142857146,risk
INV001387,9,57.25,risk
INV001394,8,63.57142857142857,risk
INV001400,6,76.8,risk
INV001401,6,68.6,risk
INV001406,10,47.666666666666664,risk
INV001407,6,45.2,risk
INV001415,8,68.14285714285714,risk
INV001418,6,88.6,risk
INV001419,6,85.8,risk
INV001423,8,48.57142857142857,risk
INV001428,6,79.4,risk
INV001432,6,71.4,risk
INV001434,6,80.6,risk
INV001442,9,57.125,risk
INV001454,7,73.0,risk
INV001455,8,64.71428571428571,risk
INV001457,6,43.8,risk
INV001458,7,59.833333333333336,risk
INV001466,6,44.6,risk
INV001472,6,79.0,risk
INV001482,6,80.6,risk
INV001485,9,55.0,risk
INV001491,6,98.8,risk
INV001497,9,63.0,risk
INV001504,9,54.25,risk
INV001507,6,86.2,risk
INV001510,7,66.83333333333333,risk
INV001514,7,51.833333333333336,risk
INV001516,6,56.8,risk
INV001526,6,50.4,risk
INV001530,7,64.66666666666667,risk
INV001532,7,56.833333333333336,risk
INV001536,7,69.0,risk
INV001545,6,92.8,risk
INV001547,7,72.16666666666667,risk
INV001548,6,80.6,risk
INV001550,7,79.0,risk
INV001551,6,61.8,risk
INV001562,10,44.22222222222222,risk
INV001564,8,55.714285714285715,risk
INV001569,6,83.4,risk
INV001579,7,75.0,risk
INV001580,7,45.666666666666664,risk
INV001585,6,56.6,risk
INV001587,7,65.0,risk
INV001597,7,56.0,risk
INV001599,6,58.2,risk
INV001602,6,93.8,risk
INV001603,7,54.5,risk
INV001605,8,60.57142857142857,risk
INV001606,7,67.66666666666667,risk
INV001616,9,53.0,risk
INV001623,6,92.0,risk
INV001625,6,72.0,risk
INV001628,8,51.714285714285715,risk
INV001629,7,67.5,risk
INV001631,6,57.0,risk
INV001636,9,48.875,risk
INV001641,6,88.4,risk
INV001644,6,65.6,risk
INV001645,6,67.6,risk
INV001649,10,51.666666666666664,risk
INV001651,7,78.66666666666667,risk
INV001653,6,55.2,risk
INV001654,7,56.0,risk
INV001656,8,59.857142857142854,risk
INV001662,6,60.2,risk
INV001672,9,34.0,normal
INV001673,11,49.3,risk
INV001680,9,58.875,risk
INV001683,7,72.5,risk
INV001689,6,83.6,risk
INV001690,7,81.16666666666667,risk
INV001691,6,82.0,risk
INV001694,8,66.14285714285714,risk
INV001697,9,62.5,risk
INV001699,6,83.2,risk
INV001709,6,51.8,risk
INV001711,7,65.83333333333333,risk
INV001712,6,66.6,risk
INV001715,8,68.28571428571429,risk
INV001718,6,84.0,risk
INV001724,7,69.66666666666667,risk
INV001728,8,50.57142857142857,risk
INV001737,7,56.833333333333336,risk
INV001738,9,47.5,risk
INV001739,9,52.5,risk
INV001741,6,89.4,risk
INV001744,7,78.5,risk
INV001752,7,69.33333333333333,risk
INV001753,11,42.8,risk
INV001757,8,55.57142857142857,risk
INV001759,10,49.55555555555556,risk
INV001769,6,98.0,risk
INV001772,6,95.0,risk
INV001775,8,29.142857142857142,normal
